,CodeN,Titulo,Area,Horas,DataInicio,DataFim,code_fina,costo
270,CdM3581,Desenvolvimento de tecnologias para a agricultura familiar,Agricultura,789,10/10/2019,22/2/2020,C,7280
272,CpZ4798,Promoção da cultura e valorização da diversidade,Cultura,1104,19/1/2022,23/4/2022,C,7884
276,Bdgg4728,Desenvolvimento de energias renováveis e combate às mudanças climáticas,Energia,1415,4/4/2022,6/7/2022,B,26208
277,Cfvv2949,Fortalecimento do sistema público de saúde,Saúde,891,10/3/2021,22/4/2021,C,5764
278,ApT1229,Promoção do empreendedorismo e geração de empregos,Economia,725,2/12/2021,5/2/2022,A,51370
279,Ccss2051,Combate ao trabalho infantil e promoção dos direitos da criança,Direitos Humanos,518,18/5/2022,17/6/2022,C,8820
281,Aeuu73,Erradicação da pobreza e redução das desigualdades,Sociologia,1002,9/9/2019,8/12/2019,A,89902
282,CpC4537,Promoção da saúde e bem-estar para todos,Saúde,749,19/1/2019,7/4/2019,C,7491
283,CeM3728,Educação de qualidade para todos,Educação,950,9/12/2021,15/1/2022,C,7831
286,Cemm2178,Energia limpa e acessível para todos,Energia,1203,7/4/2018,7/7/2018,C,2784
287,Bcab2396,Crescimento econômico sustentável e emprego digno para todos,Economia,861,5/10/2020,9/1/2021,B,22049
289,Crcc2219,Redução das desigualdades entre países e regiões,Geografia,1111,16/5/2022,24/8/2022,C,2031
291,Bctt3379,Consumo e produção responsáveis,Meio Ambiente,1144,20/2/2022,13/6/2022,B,28090
293,Apkk1252,Proteção e uso sustentável dos ecossistemas terrestres,Ecologia,1148,6/4/2022,18/6/2022,A,53803
296,CeB4704,Erradicação da fome e promoção da agricultura sustentável,Agricultura,441,4/4/2019,4/9/2019,C,9619
297,Apqq3929,Promoção do crescimento econômico inclusivo e sustentável,Economia,442,23/6/2019,15/9/2019,A,77314
298,AeO3598,Estudo sobre o impacto das mudanças climáticas na biodiversidade ,Meio Ambiente,1161,3/9/2020,8/11/2020,A,64472
299,AaC2829,Análise da poluição ambiental em áreas urbanas ,Meio Ambiente,1407,15/9/2019,11/1/2020,A,54908
300,BaK1753,Análise da poluição ambiental em áreas urbanas ,Meio Ambiente,1271,15/6/2019,18/11/2019,B,26252
302,Cpaa3471,Pesquisa sobre a utilização de inteligência artificial na área da saúde ,Tecnologia,904,30/4/2020,7/8/2020,C,5277
303,BaM3779,Análise do impacto das tecnologias digitais na educação ,Tecnologia,814,16/7/2018,26/9/2018,B,31222
304,Cicc1874,Investigação sobre a aplicação da robótica em indústrias ,Tecnologia,1359,12/9/2022,17/2/2023,C,5376
306,Capp2158,Análise da utilização de biocombustíveis na matriz energética ,Sustentabilidade,855,13/10/2019,11/12/2019,C,3480
308,AeB4998,Estudo sobre a utilização de drones em trabalhos de mapeamento ,Tecnologia,1434,18/1/2020,12/3/2020,A,83700
309,Aaff3976,Análise da eficácia dos métodos de conservação de alimentos ,Nutrição,688,17/9/2019,16/11/2019,A,62969
310,BiI526,Investigação sobre o uso de energia renovável em zonas rurais ,Sustentabilidade,500,1/2/2018,15/6/2018,B,45344
311,Aejj2828,Estudo sobre os efeitos da alimentação na saúde intestinal ,Saúde,513,28/6/2018,4/11/2018,A,71430
314,Bemm4684,Estudo sobre a utilização de inteligência artificial na previsão de desastres naturais ,Tecnologia,947,7/4/2020,9/9/2020,B,16128
315,CaF2385,Análise da influência da música na cognição humana ,Neurociência,1114,29/5/2019,26/9/2019,C,3629
316,BiU443,Investigação sobre os efeitos da exposição à radiação em trabalhadores de usinas nucleares ,Física,343,4/8/2018,24/12/2018,B,26543
317,AeO2530,Estudo sobre a utilização de robôs na construção civil ,Tecnologia,978,10/1/2018,22/6/2018,A,73683
318,Cadd2965,Análise da relação entre nutrição e saúde cardiovascular ,Saúde,1419,19/4/2020,27/5/2020,C,7382
319,Ciyy3152,Investigação sobre a eficácia das terapias alternativas para doenças mentais ,Saúde,661,23/8/2019,21/11/2019,C,8953
320,Aeee4762,Estudo sobre a utilização de veículos elétricos em áreas urbanas ,Sustentabilidade,777,15/4/2021,1/5/2021,A,83992
322,Aiaa487,Investigação sobre a aplicação de inteligência artificial em sistemas de segurança ,Tecnologia,828,1/9/2018,1/11/2018,A,81956
323,Ceii2699,Estudo sobre a utilização de energias renováveis em edifícios ,Sustentabilidade,624,29/11/2022,7/4/2023,C,1622
325,Aigg4013,Investigação sobre a relação entre poluição sonora e qualidade de vida ,Meio Ambiente,973,30/3/2022,29/7/2022,A,64876
326,CiW202,Investigação sobre a relação entre alimentação e prevenção de doenças crônicas ,Saúde,1081,6/1/2021,11/5/2021,C,4167
327,CeV2540,Estudo sobre a utilização de tecnologias na gestão de resíduos sólidos ,Tecnologia,601,24/12/2021,9/3/2022,C,6727
328,Caee1419,Análise da eficácia de métodos de tratamento de água para consumo humano ,Meio Ambiente,632,30/10/2021,15/3/2022,C,1161
329,Aiuu2552,Investigação sobre a aplicação de técnicas de inteligência artificial na agricultura ,Tecnologia,1390,15/3/2021,17/5/2021,A,52703
336,AeW513,Estudo sobre a utilização de energias renováveis em transportes ,Sustentabilidade,857,25/1/2020,24/2/2020,A,90791
342,Aerr2074,Estudo sobre a utilização de tecnologias de realidade virtual na educação ,Tecnologia,1377,13/8/2019,6/1/2020,A,94284
345,CeS1174,Estudo sobre a aplicação de tecnologias de inteligência artificial na análise de dados ambientais ,Tecnologia,1431,9/7/2019,30/9/2019,C,8683
346,CaA29,Análise da relação entre nutrição e envelhecimento saudável ,Saúde,1358,19/11/2018,20/4/2019,C,6247
349,BaS3267,Análise da relação entre tecnologia e obesidade infantil ,Tecnologia,959,4/8/2021,20/12/2021,B,25494
350,Aiff4602,Investigação sobre a utilização de células-tronco na regeneração de tecidos ,Biologia/Medicina,420,21/3/2018,25/5/2018,A,53017
353,Aeii2109,Estudo sobre a utilização de tecnologias de inteligência artificial na previsão de desastres naturais ,Tecnologia,1173,18/3/2022,8/7/2022,A,76486
355,CiJ1495,Investigação sobre a utilização de técnicas de engenharia genética em tratamentos médicos ,Biologia/Medicina,440,26/7/2021,5/12/2021,C,6082
357,AaY4234,Análise da relação entre a poluição sonora e a saúde mental ,Ecologia,1143,8/11/2018,12/4/2019,A,92216
358,Cigg1409,Investigação sobre a utilização de tecnologias de inteligência artificial na produção agrícola ,Tecnologia,1219,13/6/2018,6/11/2018,C,6793
361,Ciff2959,Investigação sobre a utilização de técnicas de biologia sintética em tratamentos médicos ,Biologia/Medicina,999,2/11/2020,28/1/2021,C,5624
363,BaR677,Análise da relação entre o uso de tecnologia e o sedentarismo ,Tecnologia,1441,22/3/2018,1/8/2018,B,15724
365,Bexx4192,Estudo sobre a aplicação de tecnologias de inteligência artificial na previsão de epidemias ,Tecnologia,487,26/3/2021,30/6/2021,B,47310
366,Camm245,Análise da relação entre o uso de dispositivos eletrônicos e a saúde ocular ,Tecnologia,1018,22/4/2018,30/8/2018,C,6177
370,Aiza2654,Investigação sobre a utilização de técnicas de engenharia de tecidos em transplantes ,Biologia/Medicina,1000,14/1/2022,1/2/2022,A,59945
374,BeO257,Estudo sobre a utilização de tecnologias de impressão 3D na produção de órgãos artificiais ,Tecnologia,1072,4/6/2021,21/9/2021,B,18231
375,Cajj3788,Análise da relação entre o uso de dispositivos móveis e a saúde mental ,Tecnologia,1193,5/12/2020,2/3/2021,C,5281
377,AeZ810,Estudo sobre a aplicação de tecnologias de inteligência artificial na detecção precoce de doenças ,Tecnologia,1161,19/7/2019,18/9/2019,A,75835
380,Berr2543,Estudo sobre a utilização de tecnologias de inteligência artificial na previsão de movimentos sísmicos ,Tecnologia,963,5/8/2019,30/11/2019,B,37770
384,Caww4379,Análise da aplicação de tecnologias de blockchain na gestão de recursos hídricos ,Tecnologia,929,2/11/2018,23/12/2018,C,8940
391,AiJ4861,Investigação sobre a utilização de técnicas de engenharia de tecidos na produção de tecidos musculares ,Biologia,1269,11/1/2018,29/2/2018,A,99548
392,AeG3219,Estudo sobre a utilização de tecnologias de inteligência artificial na identificação de padrões de atividade sísmica ,Tecnologia,1044,26/11/2018,3/2/2019,A,61171
395,Cekk2240,Estudo sobre a aplicação de tecnologias de biotecnologia na produção de alimentos alternativos ,Biologia,513,17/10/2018,25/2/2019,C,5782
396,AaU4710,Análise da relação entre a exposição a ruídos urbanos e a saúde cardiovascular ,Ecologia,497,10/4/2020,23/9/2020,A,72317
397,AiZ3127,Investigação sobre a utilização de terapias baseadas em RNA mensageiro no tratamento de doenças virais ,Biologia,797,10/11/2022,19/4/2023,A,62475
398,Cenn1970,Estudo sobre a relação entre o uso de tecnologia e o comportamento humano ,Tecnologia,633,7/6/2020,18/9/2020,C,6524
399,Aaoo4030,Análise da aplicação de tecnologias de inteligência artificial na produção de medicamentos personalizados ,Tecnologia,1175,2/5/2021,1/9/2021,A,88668
400,AiN2993,Investigação sobre a utilização de materiais avançados na produção de equipamentos esportivos ,Engenharia,1056,29/8/2018,25/10/2018,A,78345
401,Carr1215,Análise da relação entre a exposição a campos eletromagnéticos e a saúde mental ,Psicologia,1253,20/3/2022,2/8/2022,C,2733
402,CiS3562,Investigação sobre a utilização de técnicas de biotecnologia na produção de biocombustíveis ,Biologia,505,25/6/2018,11/11/2018,C,9993
403,Aeyy1435,Estudo sobre a aplicação de tecnologias de inteligência artificial na detecção precoce de doenças oftalmológicas ,Tecnologia,837,26/2/2022,16/3/2022,A,88557
405,Aill2840,Investigação sobre a utilização de materiais avançados na produção de painéis solares ,Engenharia,1413,19/12/2022,25/1/2023,A,95419
406,BeW2190,Estudo sobre a relação entre a exposição a campos magnéticos e a migração de aves ,Biologia,1053,24/1/2018,10/4/2018,B,49451
407,Bamm4637,Análise da aplicação de tecnologias de realidade aumentada na educação ,Tecnologia,1109,12/11/2022,5/1/2023,B,17791
408,Aiuu2990,Investigação sobre a utilização de técnicas de engenharia genética na produção de medicamentos ,Biologia,598,6/5/2022,8/7/2022,A,89627
409,Ceee1916,Estudo sobre a utilização de tecnologias de inteligência artificial na identificação de padrões de tráfego ,Tecnologia,684,13/12/2021,24/4/2022,C,9063
420,CiK2798,Investigação sobre a utilização de técnicas de engenharia de tecidos na produção de tecidos ósseos ,Biologia,983,28/7/2020,31/8/2020,C,9018
422,Cacc1399,Análise da relação entre a exposição a poluentes ambientais e a saúde mental ,Ecologia,399,7/1/2021,26/3/2021,C,4912
423,CiE2733,Investigação sobre a utilização de materiais avançados na produção de sistemas de dessalinização de água ,Engenharia,428,19/4/2021,4/6/2021,C,9448
424,BpH4348,Projeto Monitoramento da Qualidade do Ar ,Meio Ambiente,610,8/3/2021,10/8/2021,B,29931
425,CiW3393,Investigação de Energia Nuclear ,Energia,579,19/3/2020,10/7/2020,C,4853
426,Beww773,Estudo de Doenças Tropicais ,Saúde,716,22/1/2019,30/2/2019,B,20934
427,ApP1155,Projeto de Estudos sobre a Água ,Meio Ambiente,800,24/8/2022,24/9/2022,A,79646
428,Cess2249,Estudo de Inteligência Artificial e Aprendizado de Máquina ,Ciência da Computação,442,10/1/2022,1/3/2022,C,4642
429,CpH1450,Projeto de Desenvolvimento de Vacinas ,Saúde,355,10/4/2018,23/7/2018,C,1473
430,CiJ8,Investigação de Mudanças no Clima ,Meio Ambiente,1102,19/10/2018,3/2/2019,C,7429
431,Beqq151,Estudo de Biologia Molecular ,Biologia,1176,27/4/2018,18/7/2018,B,40350
432,Bpuu3692,Projeto de Desenvolvimento de Novos Materiais ,Química,391,1/4/2019,5/8/2019,B,34749
433,Biqq75,Investigação de Energia das Marés ,Energia,497,17/6/2019,20/8/2019,B,13908
436,Civv2547,Investigação de Energia Solar ,Energia,1179,23/6/2019,24/10/2019,C,3457
437,Behh3391,Estudo de Psicologia Experimental ,Psicologia,1049,15/11/2019,7/1/2020,B,15186
438,BpS2158,Projeto de Diagnóstico por Imagem ,Medicina,1200,3/11/2020,22/2/2021,B,10037
440,Aehh1734,Estudo de Economia Comportamental ,Economia,1335,16/5/2022,11/9/2022,A,60139
441,CpB2491,Projeto de Segurança Cibernética ,Segurança da Informação,704,12/9/2021,7/10/2021,C,2417
442,AiS1273,Investigação de Biotecnologia ,Biologia,461,5/10/2021,23/11/2021,A,75946
443,Beww378,Estudo de Física Quântica ,Física,385,6/8/2022,22/10/2022,B,17382
444,Cpgg4536,Projeto de Conservação de Espécies em Extinção ,Meio Ambiente,613,4/8/2019,16/11/2019,C,5339
446,BeS334,Estudo de Engenharia de Materiais ,Engenharia,403,30/2/2019,25/6/2019,B,44884
447,ApH2191,Projeto de Desenvolvimento de Sistemas de Armazenamento de Energia ,Energia,878,4/1/2018,20/6/2018,A,83613
448,Citt2631,Investigação de Genética de Plantas ,Genética,1185,6/4/2022,29/6/2022,C,2608
449,CeZ525,Estudo de Saúde Pública ,Saúde,424,25/10/2021,23/2/2022,C,1278
450,Bpss1344,Projeto de Engenharia Aeroespacial ,Engenharia,1274,28/6/2022,30/9/2022,B,49610
451,Biii579,Investigação de Neurociência e Comportamento ,Neurociência,369,29/7/2018,3/12/2018,B,28742
452,BeH2597,Estudo de Ecologia e Biologia Evolutiva ,Biologia,951,6/2/2018,27/7/2018,B,32890
453,CpE4614,Projeto de Desenvolvimento de Sistemas de Transporte Inteligentes ,Engenharia,796,15/6/2022,14/10/2022,C,7021
454,AiL3212,Investigação de Medicina Personalizada ,Medicina,1384,15/3/2018,18/8/2018,A,97886
456,Apll1538,Projeto de Desenvolvimento de Robótica ,Engenharia,968,25/12/2022,22/3/2023,A,53576
459,Bpss581,Projeto de Sustentabilidade Urbana ,Meio Ambiente,887,16/3/2021,9/5/2021,B,17816
460,CiQ603,Investigação de Física de Partículas ,Física,1048,7/12/2020,12/4/2021,C,5466
461,Cecc4360,Estudo de Antropologia Biológica ,Antropologia,945,27/9/2021,25/2/2022,C,5797
462,Apdd125,Projeto de Desenvolvimento de Tecnologias para a Saúde Mental ,Saúde,1332,19/2/2020,24/7/2020,A,68780
464,Cell1879,Estudo de Sistemas Biológicos Complexos ,Biologia,910,13/9/2019,1/2/2020,C,1419
465,Appp2073,Projeto de Engenharia de Alimentos ,Engenharia,814,5/4/2020,4/8/2020,A,62006
466,Cimm4251,Investigação de Psicologia Social ,Psicologia,1476,17/12/2018,1/3/2019,C,4042
468,BpH4114,Projeto de Desenvolvimento de Novas Terapias ,Saúde,1479,10/1/2019,26/3/2019,B,34221
469,Bpvv2821,Projeto de Pesquisa em Agricultura de Precisão ,Agricultura,1330,26/8/2019,11/1/2020,B,40617
470,BeS4206,Estudo de Genética Humana ,Genética,317,28/7/2019,5/9/2019,B,35094
471,CiT4364,Investigação em Gestão de Resíduos Sólidos ,Meio Ambiente,1132,27/2/2020,14/6/2020,C,9335
472,Bpii3398,Projeto de Desenvolvimento de Inteligência Artificial para Jogos ,Ciência da Computação,1254,2/5/2018,29/10/2018,B,43840
473,AeM4153,Estudo de Oceanografia ,Oceanografia,1185,19/3/2019,1/5/2019,A,64978
474,AiF4752,Investigação em Energia Eólica ,Energia,999,29/4/2022,5/9/2022,A,79766
476,BeU3156,Estudo de Sociologia da Tecnologia ,Sociologia,1488,16/9/2019,26/11/2019,B,38300
477,Aivv2725,Investigação em Ciência de Dados ,Ciência da Computação,1337,1/2/2022,26/3/2022,A,70169
478,Apdd3502,Projeto de Monitoramento da Biodiversidade ,Meio Ambiente,1468,28/11/2021,23/4/2022,A,91569
479,Ceza129,Estudo de Engenharia Biomédica ,Engenharia,1077,20/5/2020,29/9/2020,C,2512
480,Cirr2885,Investigação em Energia Hidrelétrica ,Energia,646,7/9/2021,3/11/2021,C,4898
481,CpE1953,Projeto de Desenvolvimento de Dispositivos Ópticos ,Física,800,22/1/2019,21/6/2019,C,3348
482,AeF4031,Estudo de Ecologia de Paisagem ,Ecologia,456,11/8/2022,26/1/2023,A,75431
483,CiK1822,Investigação em Comunicação e Tecnologia ,Comunicação,1172,17/11/2021,16/2/2022,C,1458
484,Bpab2781,Projeto de Desenvolvimento de Novos Medicamentos ,Saúde,1430,5/11/2021,2/12/2021,B,32820
485,CeD4820,Estudo de Engenharia de Controle e Automação ,Engenharia,441,21/2/2021,7/6/2021,C,9448
486,Cipp1062,Investigação em Biologia de Sistemas ,Biologia,1353,10/1/2018,1/6/2018,C,1725
487,BpE3061,Projeto de Desenvolvimento de Plataformas de Streaming ,Ciência da Computação,670,11/5/2022,17/6/2022,B,16416
488,Beaa3051,Estudo de Engenharia Ambiental ,Engenharia,477,19/1/2019,21/3/2019,B,36366
489,CiT4776,Investigação em Física Teórica ,Física,738,27/11/2019,12/1/2020,C,2173
490,Bppp997,Projeto de Desenvolvimento de Dispositivos Médicos ,Saúde,540,13/5/2021,8/7/2021,B,28058
491,BeU4152,Estudo de Antropologia Cultural ,Antropologia,578,21/11/2020,16/12/2020,B,42594
492,Biff2928,Investigação em Criptografia ,Segurança da Informação,669,25/5/2022,1/9/2022,B,35029
493,BpH785,Projeto de Desenvolvimento de Sistemas de Inteligência Artificial para Saúde ,Saúde,328,14/6/2022,13/8/2022,B,31742
495,Ciqq3231,Investigação em Energia Geotérmica ,Energia,355,11/10/2019,16/1/2020,C,9328
496,Bpdd3697,Projeto de Desenvolvimento de Tecnologias para Agricultura Vertical ,Agricultura,455,28/8/2021,13/12/2021,B,47295
497,CeW3942,Estudo de Biologia de Células-tronco ,Biologia,517,1/11/2022,1/1/2023,C,8095
498,Aidd3084,Investigação em Engenharia Civil ,Engenharia,951,25/11/2018,3/12/2018,A,61931
499,Cpab2619,Projeto de Desenvolvimento de Plataformas de E-commerce ,Ciência da Computação,757,6/2/2022,30/3/2022,C,4253
501,Aiqq1126,Investigação em Materiais Avançados para Energia ,Química,613,23/5/2021,1/10/2021,A,58249
502,CpT954,Projeto de Desenvolvimento de Robôs Autônomos ,Engenharia,750,6/12/2019,18/5/2020,C,8975
503,Beaa2130,Estudo de Engenharia de Processos Químicos ,Engenharia,1049,9/12/2020,21/3/2021,B,36329
504,BiU3953,Investigação em Nanomedicina ,Medicina,500,25/2/2021,12/7/2021,B,20248
505,BpS2177,Projeto de Desenvolvimento de Sistemas de Inteligência Artificial para Meio Ambiente ,Meio Ambiente,1225,6/10/2018,2/3/2019,B,24333
506,Ceff2863,Estudo de Sociologia da Ciência ,Sociologia,640,1/9/2020,2/12/2020,C,4427
507,Cioo2676,Investigação em Engenharia de Sistemas ,Engenharia,353,14/1/2022,30/2/2022,C,6521
508,CpX1860,Projeto de Desenvolvimento de Tecnologias para Agricultura de Precisão ,Agricultura,1410,18/1/2019,14/3/2019,C,9340
509,BeJ1618,Estudo de Comunicação Científica ,Comunicação,1310,14/7/2020,23/12/2020,B,30717
510,Biuu4256,Investigação em Energia de Fusão ,Energia,442,29/3/2021,3/5/2021,B,32832
511,Bpdd3689,Projeto de Desenvolvimento de Sistemas de Realidade Aumentada ,Ciência da Computação,939,9/12/2021,25/4/2022,B,44929
513,CiE4138,Investigação em Recursos Hídricos ,Meio Ambiente,443,19/1/2021,11/3/2021,C,5664
514,ApU1165,Projeto de Desenvolvimento de Tecnologias para Energia Solar ,Energia,595,19/9/2019,19/12/2019,A,86230
515,CeE4715,Estudo de Biologia Molecular ,Biologia,1292,2/6/2020,12/10/2020,C,9909
516,Aidd3807,Investigação em Segurança de Redes ,Segurança da Informação,661,14/3/2021,11/7/2021,A,57078
517,CpW658,Projeto de Desenvolvimento de Novos Materiais para Engenharia ,Engenharia,875,12/3/2022,27/4/2022,C,8518
518,Aedd4413,Estudo de Antropologia Biológica ,Antropologia,875,6/6/2021,24/11/2021,A,58473
519,AiX874,Investigação em Engenharia de Materiais ,Engenharia,826,3/3/2022,27/7/2022,A,53560
520,Cpee3462,Projeto de Desenvolvimento de Sistemas de Machine Learning ,Ciência da Computação,545,9/6/2022,29/7/2022,C,5243
521,Aeuu4405,Estudo de Ciência do Solo ,Agricultura,748,23/5/2018,14/9/2018,A,79039
522,Civv256,Investigação em Engenharia Aeroespacial ,Engenharia,1437,20/2/2022,7/3/2022,C,2912
524,BeR169,Estudo de Ecologia de Ecossistemas ,Ecologia,945,21/10/2021,16/11/2021,B,17677
525,AiJ4845,Investigação em Engenharia de Controle de Qualidade ,Engenharia,586,22/2/2019,11/3/2019,A,99136
526,CpI1366,Projeto de Desenvolvimento de Tecnologias para Veículos Autônomos ,Engenharia,1150,11/4/2018,24/9/2018,C,7543
527,Ceii2303,Estudo de Física de Partículas ,Física,677,16/11/2021,14/2/2022,C,2986
528,CiS1032,Investigação em Fisiologia do Exercício ,Medicina,521,10/5/2020,7/9/2020,C,5878
529,Apkk2757,Projeto de Desenvolvimento de Sistemas de Blockchain ,Ciência da Computação,1197,30/12/2019,16/2/2020,A,89359
530,AeO842,Estudo de Biologia Evolutiva ,Biologia,707,21/1/2022,10/2/2022,A,52576
531,CiF305,Investigação em Engenharia de Processos de Manufatura ,Engenharia,344,4/11/2019,16/12/2019,C,6997
532,CpR3999,Projeto de Desenvolvimento de Tecnologias para Reciclagem de Resíduos ,Meio Ambiente,1168,23/11/2018,15/3/2019,C,5736
533,CeO204,Estudo de Engenharia de Sistemas de Transporte ,Engenharia,1083,14/4/2020,20/9/2020,C,9590
534,Birr577,Investigação em Imunologia ,Medicina,613,19/1/2020,26/4/2020,B,10241
535,CpK2556,Projeto de Desenvolvimento de Sistemas de Reconhecimento de Voz ,Ciência da Computação,1345,6/3/2019,24/4/2019,C,8912
536,BeT1707,Estudo de Engenharia de Sistemas de Energia ,Engenharia,303,30/3/2019,5/6/2019,B,10383
537,BiT3930,Investigação em Engenharia de Alimentos ,Engenharia,1472,14/4/2022,8/8/2022,B,39476
538,BpR2151,Projeto de Desenvolvimento de Tecnologias para a Indústria 4.0 ,Engenharia,826,17/12/2019,31/5/2020,B,33422
539,CeZ3572,Estudo de Geologia ,Geologia,798,4/1/2018,13/5/2018,C,2529
540,Ciee2123,Investigação em Inteligência Artificial Explicável ,Ciência da Computação,300,9/12/2018,30/4/2019,C,2078
541,Apss4175,Projeto de Desenvolvimento de Sistemas de Realidade Virtual ,Ciência da Computação,1096,2/4/2021,1/6/2021,A,51765
542,Aeoo1520,Estudo de Biologia Computacional ,Biologia,367,9/10/2018,14/1/2019,A,56412
543,Biaa1080,Investigação em Engenharia de Transportes ,Engenharia,438,30/6/2022,29/11/2022,B,32622
544,Apee4341,Projeto de Desenvolvimento de Tecnologias para Recursos Hídricos ,Meio Ambiente,812,21/7/2018,14/10/2018,A,52085
545,BeP416,Estudo de Astronomia ,Astronomia,822,17/10/2019,26/12/2019,B,26448
546,Cimm2051,Investigação em Medicina Personalizada ,Medicina,1451,12/8/2021,10/9/2021,C,6857
547,Bppp803,Projeto de Desenvolvimento de Sistemas de Reconhecimento Facial ,Ciência da Computação,484,22/1/2019,22/3/2019,B,12600
548,CeZ926,Estudo de Engenharia de Sistemas de Manufatura ,Engenharia,950,24/5/2018,10/7/2018,C,6801
549,Bigg4742,Investigação em Engenharia de Mineração ,Engenharia,836,3/10/2020,25/1/2021,B,26534
550,Cpll1339,Projeto de Desenvolvimento de Tecnologias para Agricultura de Precisão ,Agricultura,1069,5/12/2018,12/5/2019,C,2142
551,CdD4042,Desenvolvimento de um novo método de tratamento de água,Engenharia ambiental,899,30/7/2020,10/12/2020,C,8893
552,CeN562,Estudo das mudanças climáticas na região amazônica,Climatologia,1255,5/8/2022,23/10/2022,C,4358
554,Cdff201,Desenvolvimento de novos medicamentos para o tratamento do câncer,Farmacologia,1400,24/1/2022,1/4/2022,C,3286
555,CeJ127,Estudo da biodiversidade na floresta atlântica,Biologia da conservação,1169,23/10/2020,16/3/2021,C,5389
556,Bdll251,Desenvolvimento de novos materiais para uso em construções,Engenharia de materiais,432,6/7/2018,31/12/2018,B,47886
558,CeU4422,Estudo da dinâmica populacional em comunidades indígenas,Sociologia,637,30/6/2020,10/8/2020,C,6415
559,Bdff4830,Desenvolvimento de novos métodos de diagnóstico de doenças infecciosas,Imunologia,1263,7/12/2019,29/1/2020,B,38339
562,CdV999,Desenvolvimento de novas técnicas de reciclagem de resíduos sólidos,Engenharia ambiental,748,1/4/2018,19/5/2018,C,9179
565,Begg3264,Estudo do impacto da mineração na Amazônia na biodiversidade e nos recursos hídricos,Geologia,1431,3/9/2020,28/12/2020,B,47468
566,Cdcc325,Desenvolvimento de novos materiais para uso em painéis solares,Engenharia de materiais,1469,7/11/2021,24/2/2022,C,3151
568,CeC2012,Estudo da relação entre o desmatamento e as mudanças climáticas na Amazônia,Climatologia,1500,4/10/2018,11/2/2019,C,1873
569,Bduu1205,Desenvolvimento de técnicas de produção de alimentos mais sustentáveis,Agroecologia,896,14/5/2020,17/6/2020,B,32936
571,BdF160,Desenvolvimento de novos medicamentos a partir de plantas da biodiversidade brasileira,Farmacologia,634,28/10/2021,28/12/2021,B,32359
574,CeH449,Estudo dos impactos do turismo na conservação da natureza no Brasil,Ecoturismo,542,26/7/2019,26/11/2019,C,9255
578,AeV3735,Estudo do impacto das mudanças climáticas na biodiversidade terrestre brasileira,Biologia da conservação,962,25/2/2020,30/7/2020,A,95729
583,Cdww2218,Desenvolvimento de tecnologias para uso eficiente da água na agricultura,Engenharia agrícola,1473,13/2/2020,9/4/2020,C,4367
584,Cepp4346,Estudo da relação entre a degradação do solo e a produção agrícola no Cerrado,Agroecologia,1012,5/12/2020,14/4/2021,C,9818
588,CeE2182,Estudo do impacto da mineração em áreas urbanas na saúde humana,Engenharia ambiental,639,5/2/2022,7/3/2022,C,5890
591,CdC3960,Desenvolvimento de novos métodos de produção de alimentos orgânicos,Agroecologia,912,18/4/2019,24/5/2019,C,7526
593,Bdaa834,Desenvolvimento de tecnologias para monitoramento da qualidade do ar,Engenharia ambiental,983,29/1/2022,14/2/2022,B,19762
596,Ceoo4613,Estudo da relação entre a degradação dos solos e a disponibilidade de água,Engenharia agrícola,1078,11/7/2018,20/11/2018,C,3026
598,AeM4284,Estudo do impacto das mudanças climáticas na produção de energia hidrelétrica no Brasil,Engenharia elétrica,1379,28/11/2022,22/1/2023,A,61142
599,Bdll3568,Desenvolvimento de novas técnicas de monitoramento da biodiversidade terrestre,Biologia da conservação,1486,15/12/2020,5/2/2021,B,40639
601,Bdkk2574,Desenvolvimento de tecnologias para produção de alimentos em áreas semiáridas,Engenharia agrícola,366,1/2/2020,19/5/2020,B,25901
603,Bdee3182,Desenvolvimento de novas técnicas de conservação de água em ambientes urbanos,Engenharia civil,423,21/12/2020,31/5/2021,B,32620
604,Berr4050,Estudo da relação entre a poluição dos rios e a saúde humana,Engenharia ambiental,1219,1/6/2019,25/8/2019,B,47374
609,CdB1946,Desenvolvimento de tecnologias para tratamento de resíduos sólidos urbanos,Engenharia ambiental,639,16/6/2022,15/11/2022,C,4561
611,CdY3733,Desenvolvimento de novas técnicas de reciclagem de materiais plásticos,Engenharia de materiais,1205,16/1/2018,4/2/2018,C,7906
612,BeG1460,Estudo do impacto das mudanças climáticas na produção de energia eólica no Brasil,Engenharia elétrica,812,8/1/2021,28/3/2021,B,39795
613,BdR4294,Desenvolvimento de tecnologias para o uso sustentável da água em ambientes urbanos,Engenharia civil,956,5/2/2021,15/7/2021,B,29664
615,CdP654,Desenvolvimento de novas técnicas de produção de alimentos com baixo impacto ambiental,Agroecologia,1301,16/8/2020,19/10/2020,C,6445
616,CeD3684,Estudo do impacto da mineração em áreas rurais na saúde humana,Toxicologia ambiental,595,28/4/2019,8/9/2019,C,3323
617,Cdpp3552,Desenvolvimento de tecnologias para uso eficiente da água em indústrias,Engenharia química,355,24/5/2022,13/6/2022,C,6831
618,AeB1518,Estudo da relação entre a degradação das florestas e a segurança alimentar,Agroecologia,454,29/7/2021,14/9/2021,A,85382
619,AdI482,Desenvolvimento de novas técnicas de aproveitamento de resíduos orgânicos na produção de biocombustíveis,Bioquímica,768,8/2/2020,4/7/2020,A,99837
