code_projeto,titulo,area,horas,data_Inicio,data_Fim,code_financiamento,costo,code_regiao
Aiuu3773,"Inteligência Artificial: 9 projetos open source",Tecnologia,1048,2018-12-23,2019-03-05,A,95847,1
Aivv2725,"Investigação em Ciência de Dados","Ciência da Computação",1337,2022-02-01,2022-03-26,A,70169,2
AiX874,"Investigação em Engenharia de Materiais",Engenharia,826,2022-03-03,2022-07-27,A,53560,1
Aiyy4310,"Inclusão de crianças com deficiência na escola e na sociedade",Inclusão,1032,2019-05-03,2019-08-22,A,59483,5
Aiyy658,"Inteligência Artificial e sociedade: avanços e riscos",Tecnologia,357,2019-09-18,2019-11-15,A,78724,4
Aiza2654,"Investigação sobre a utilização de técnicas de engenharia de tecidos em transplantes",Biologia/Medicina,1000,2022-01-14,2022-02-01,A,59945,2
AmD4771,"Mapeamento da biodiversidade na floresta amazônica",Ecologia,977,2022-11-20,2023-02-03,A,64356,1
AmK3808,"Modelagem de previsão de terremotos",Geologia,696,2020-03-09,2020-04-30,A,51464,5
Amll2305,"Mapeamento da biodiversidade na floresta amazônica",Ecologia,1435,2019-11-30,2020-04-12,A,81705,5
Aoee4728,"O impacto das mudanças climáticas nas ilhas e no litoral",Oceanografia,495,2020-10-08,2021-02-15,A,59270,5
Aoff3660,"Os impactos da mudança climática na biodiversidade",Ecologia,1211,2022-01-05,2022-06-02,A,98418,1
Aoii4766,"O impacto do aquecimento global na biodiversidade",Ecologia,1192,2018-07-05,2018-09-18,A,83305,2
Aojj2341,"O rastreador de mosquitos",Saúde,1173,2021-09-08,2022-02-05,A,73832,2
Apab2158,"Planejamento urbano para cidades inteligentes e inclusivas para pessoas em situação de pobreza",Tecnologia,519,2022-01-06,2022-04-28,A,91240,1
ApB2217,"Povoamento de eucalipto com utilização de redes neurais artificiais",Tecnologia,392,2019-03-24,2019-05-24,A,82444,1
ApD3635,"Promoção da saúde mental em comunidades em situação de pobreza","Saúde Mental",1050,2018-06-22,2018-09-15,A,62348,4
Apdd125,"Projeto de Desenvolvimento de Tecnologias para a Saúde Mental",Saúde,1332,2020-02-19,2020-07-24,A,68780,2
Apdd3502,"Projeto de Monitoramento da Biodiversidade","Meio Ambiente",1468,2021-11-28,2022-04-23,A,91569,3
Apee4341,"Projeto de Desenvolvimento de Tecnologias para Recursos Hídricos","Meio Ambiente",812,2018-07-21,2018-10-14,A,52085,3
Apff1142,"Promoção da saúde mental em comunidades migrantes","Saúde Mental",1233,2021-07-23,2021-08-19,A,62595,3
Apff3525,"Promoção da justiça social e combate à exclusão social através da educação","Justiça Social",872,2020-12-01,2021-02-26,A,99549,4
Apgg1991,"Promoção da justiça social e combate à discriminação contra pessoas LGBTQIA+","Justiça Social",1315,2022-04-29,2022-09-26,A,93037,2
ApH2191,"Projeto de Desenvolvimento de Sistemas de Armazenamento de Energia",Energia,878,2018-01-04,2018-06-20,A,83613,3
ApH4648,"Promoção da saúde sexual e reprodutiva em comunidades LGBTQIA+",Saúde,654,2021-08-26,2021-09-20,A,63222,4
ApJ2976,"Planejamento urbano para cidades inteligentes e inclusivas para migrantes LGBTQIA+",Tecnologia,791,2019-05-27,2019-09-06,A,89864,1
Apkk1252,"Proteção e uso sustentável dos ecossistemas terrestres",Ecologia,1148,2022-04-06,2022-06-18,A,53803,2
Apkk2757,"Projeto de Desenvolvimento de Sistemas de Blockchain","Ciência da Computação",1197,2019-12-30,2020-02-16,A,89359,2
Apll1538,"Projeto de Desenvolvimento de Robótica",Engenharia,968,2022-12-25,2023-03-22,A,53576,3
ApO2227,"Promoção da justiça social e acesso à justiça para migrantes","Justiça Social",737,2019-02-15,2019-03-13,A,73684,4
ApP1155,"Projeto de Estudos sobre a Água","Meio Ambiente",800,2022-08-24,2022-09-24,A,79646,2
Appp2073,"Projeto de Engenharia de Alimentos",Engenharia,814,2020-04-05,2020-08-04,A,62006,5
ApQ2347,"Promoção da saúde e prevenção de doenças em comunidades quilombolas","Saúde Pública",1256,2022-07-12,2022-09-25,A,62375,5
Apqq3929,"Promoção do crescimento econômico inclusivo e sustentável",Economia,442,2019-06-23,2019-09-15,A,77314,1
Apss4175,"Projeto de Desenvolvimento de Sistemas de Realidade Virtual","Ciência da Computação",1096,2021-04-02,2021-06-01,A,51765,1
Apss963,"Promoção da saúde e prevenção de doenças em comunidades LGBTQIA+","Saúde Pública",1058,2020-04-16,2020-07-25,A,90623,5
ApT1229,"Promoção do empreendedorismo e geração de empregos",Economia,725,2021-12-02,2022-02-05,A,51370,4
ApU1165,"Projeto de Desenvolvimento de Tecnologias para Energia Solar",Energia,595,2019-09-19,2019-12-19,A,86230,5
Apuu1761,"Promoção da igualdade racial e combate ao racismo","Direitos Humanos",803,2022-04-09,2022-06-26,A,72041,1
Apuu3221,"Promoção da justiça social e combate à exclusão social","Justiça Social",1335,2021-03-19,2021-07-16,A,57022,3
Apuu4702,"Promoção da saúde e prevenção de doenças em crianças",Saúde,1011,2019-08-07,2019-12-29,A,95479,4
ApV2154,"Promoção da justiça social e combate à discriminação contra pessoas LGBTQIA+","Justiça Social",569,2022-02-16,2022-05-24,A,58090,4
ApV276,"Planejamento de atividade de transporte florestal com sistema multi-agente",Tecnologia,464,2018-01-19,2018-02-09,A,85395,3
Apvv2993,"Promoção da saúde mental em comunidades migrantes LGBTQIA+","Saúde Mental",722,2019-06-02,2019-08-21,A,80685,5
ApW1933,"Proposta pedagógica de ficção científica e cibernética com inteligência artificial",Tecnologia,727,2021-06-07,2021-08-06,A,81906,4
ApW3491,"Promoção da saúde e prevenção de doenças em comunidades LGBTQIA+","Saúde Pública",1083,2022-07-13,2022-12-28,A,83530,1
ApW4262,"Promoção da educação em direitos humanos",Educação,523,2021-12-22,2022-01-04,A,63304,2
ArD3479,"Robôs para gestão de projetos acadêmicos",Tecnologia,1321,2022-09-09,2022-10-21,A,89671,5
Arii3645,"Redução das desigualdades sociais entre migrantes e não-migrantes através de políticas públicas","Políticas Públicas",378,2020-01-26,2020-05-30,A,68489,5
Arll780,"Redução das desigualdades sociais através de políticas públicas","Políticas Públicas",1240,2020-12-15,2021-05-30,A,71397,2
Artt3501,"Robótica relacionada a inteligência artificial",Tecnologia,1089,2020-04-22,2020-06-16,A,63678,5
ArV1090,"Robôs para reconstrução óssea",Tecnologia,989,2022-06-17,2022-08-14,A,91474,5
Arvv3973,"Robôs para limpeza de lixo espacial",Tecnologia,1288,2020-10-09,2021-03-20,A,94990,4
ArX2166,"Robôs para companhia de idosos",Tecnologia,1426,2019-05-28,2019-06-13,A,58729,1
ArZ2190,"Redução das desigualdades sociais através do acesso à alimentação saudável","Políticas Públicas",418,2020-10-03,2020-11-23,A,88179,2
AsA3850,"Simulação de Mudanças Climáticas na Floresta Amazônica",Ecologia,1171,2019-07-16,2019-10-24,A,88254,2
Asdd3045,"Soluções sustentáveis para a mobilidade urbana","Engenharia de Transportes",958,2020-12-10,2021-05-28,A,70909,2
AsO2974,"Sistema web para gestão de projetos acadêmicos",Tecnologia,467,2021-04-23,2021-06-24,A,70074,4
AsT4526,"Sistema de apoio a decisões através de técnicas de raciocínio baseado em caos com a RNA",Tecnologia,996,2018-07-29,2018-10-12,A,59398,4
Ataa4088,"Tecnologias verdes para a produção de alimentos",Agricultura,463,2019-07-06,2019-10-29,A,91829,5
Atii4631,"Técnicas de SEO para otimização de sites",Tecnologia,532,2018-04-23,2018-06-24,A,79184,3
BaA1920,"A descoberta de novas fontes de energia a partir de materiais sintéticos",Química,838,2020-06-25,2020-09-29,B,19343,4
BaA4594,"A descoberta de novas substâncias para a produção de medicamentos",Farmacologia,457,2021-08-07,2022-01-19,B,47942,4
Baaa337,"Análise da relação entre poluição luminosa e qualidade de vida",Urbanização,750,2019-07-27,2019-09-19,B,45608,5
Baff3807,"Análise de dados para geração de textos automáticos",Tecnologia,463,2019-06-28,2019-07-06,B,20596,4
BaG227,"Análise de dados de mercado financeiro",Economia,464,2021-01-18,2021-06-14,B,10047,2
BaH37,"Análise de dados para detecção de fraudes em cartões de crédito",Tecnologia,1359,2021-12-30,2022-04-30,B,42943,2
BaI2941,"Análise de dados para classificação de imagens médicas",Tecnologia,749,2021-11-08,2022-01-08,B,10246,2
BaJ4265,"Análise das tendências de crescimento populacional mundial",Demografia,1140,2021-06-24,2021-11-11,B,36180,1
Bajj4001,"Análise de impactos ambientais em hidrelétricas","Engenharia Ambiental",900,2018-01-30,2018-02-22,B,48745,2
Bajj4491,"Análise da relação entre discriminação e saúde mental em pessoas LGBTQIA+","Saúde Mental",1142,2020-04-05,2020-07-17,B,45885,3
BaK1571,"Análise de impactos ambientais em indústrias de mineração","Engenharia Ambiental",931,2022-06-09,2022-09-24,B,17186,2
BaK1753,"Análise da poluição ambiental em áreas urbanas","Meio Ambiente",1271,2019-06-15,2019-11-18,B,26252,2
BaK3414,"Análise da resistência bacteriana a antimicrobianos",Microbiologia,422,2018-12-16,2019-03-08,B,22628,4
BaK457,"Análise das mudanças climáticas na Antártica",Climatologia,524,2021-11-23,2022-03-28,B,41540,1
Ball3513,"Análise da eficácia de programas de prevenção ao uso de drogas","Saúde Pública",1496,2018-04-14,2018-08-09,B,42351,3
BaM3779,"Análise do impacto das tecnologias digitais na educação",Tecnologia,814,2018-07-16,2018-09-26,B,31222,5
BaM4540,"Análise da relação entre alimentação e doenças crônicas",Saúde,589,2022-12-14,2023-04-22,B,20302,5
Bamm4637,"Análise da aplicação de tecnologias de realidade aumentada na educação",Tecnologia,1109,2022-11-12,2023-01-05,B,17791,1
BaO2407,"Análise da eficácia de programas de prevenção ao alcoolismo","Saúde Pública",471,2020-03-03,2020-06-27,B,39620,4
Baoo3478,"Abelha robotizada",Tecnologia,397,2021-09-27,2021-12-26,B,44944,3
Bapp4808,"Análise do impacto de programas de educação financeira na redução do endividamento",Economia,306,2020-06-18,2020-07-20,B,22401,5
BaR677,"Análise da relação entre o uso de tecnologia e o sedentarismo",Tecnologia,1441,2018-03-22,2018-08-01,B,15724,5
BaS3267,"Análise da relação entre tecnologia e obesidade infantil",Tecnologia,959,2021-08-04,2021-12-20,B,25494,4
Bass1472,"Análise da relação entre poluição da água e doenças gastrointestinais",Saúde,342,2022-07-08,2022-09-24,B,19173,4
Bass2873,"Análise da relação entre estresse ocupacional e saúde mental",Saúde,1237,2022-12-04,2023-02-26,B,28829,4
BaT2552,"Análise da eficácia de novos tratamentos para doenças tropicais",Saúde,572,2020-08-27,2020-09-17,B,44973,5
BaT3657,"Análise de riscos ambientais com base em informações geoespaciais",Geografia,1156,2018-11-03,2019-02-10,B,15794,5
Bauu1159,"Análise da utilização de fontes renováveis de energia no mundo","Energia Renovável",1038,2018-09-09,2018-10-02,B,44647,5
BaV1288,"Análise da influência da tecnologia na aprendizagem",Educação,500,2021-06-09,2021-11-01,B,17660,3
BaV3520,"Análise do impacto do turismo na preservação ambiental","Turismo Sustentável",1419,2022-03-23,2022-06-13,B,32885,3
BaV4802,"Ação contra a mudança climática através do desenvolvimento de tecnologias verdes em áreas com alta concentração de migrantes","Mudança Climática",376,2021-05-30,2021-07-30,B,49064,3
BaW975,"A relação entre a atividade sísmica e a exploração de água subterrânea",Geologia,1238,2020-01-22,2020-02-15,B,23351,4
BaX2333,"Análise de dados para segmentação de clientes",Tecnologia,534,2021-05-09,2021-08-02,B,35558,1
BaY2330,"Avanços em nanotecnologia para a medicina",Medicina,976,2020-07-26,2020-11-08,B,35053,2
BaY3190,"A revolução dos ossos",Tecnologia,1168,2020-02-25,2020-07-08,B,18062,3
Bcab2396,"Crescimento econômico sustentável e emprego digno para todos",Economia,861,2020-10-05,2021-01-09,B,22049,2
BcE3100,"Conscientização sobre a importância da educação para o desenvolvimento sustentável",Educação,692,2020-09-26,2021-02-25,B,21803,2
Bchh4086,"Conservação da biodiversidade marinha e desenvolvimento do turismo sustentável em áreas com alta concentração de migrantes","Turismo Sustentável",950,2018-05-21,2018-10-27,B,45776,1
Bchh4376,"Conservação da biodiversidade marinha e desenvolvimento do turismo sustentável em áreas com alta concentração de migrantes","Turismo Sustentável",366,2021-11-01,2022-03-19,B,39779,4
BcK212,"Conservação da biodiversidade marinha e costeira em áreas com alta concentração de migrantes","Conservação Marinha",783,2020-11-02,2021-01-08,B,23096,4
BcK3463,"Conservação da biodiversidade terrestre e desenvolvimento do ecoturismo",Ecoturismo,1133,2019-02-28,2019-05-22,B,10675,5
Bcmm318,"Conscientização sobre o consumo consciente e produção responsável em comunidades migrantes","Consumo Consciente",478,2019-12-16,2020-02-09,B,10386,5
Bcnn2104,"Conservação da biodiversidade terrestre e florestal em áreas quilombolas","Conservação Terrestre",760,2022-01-19,2022-04-26,B,31609,5
Bctt3379,"Consumo e produção responsáveis","Meio Ambiente",1144,2022-02-20,2022-06-13,B,28090,1
BcU2034,"Conservação da biodiversidade marinha e desenvolvimento do turismo sustentável","Turismo Sustentável",583,2018-08-29,2019-01-19,B,25429,4
Bdaa834,"Desenvolvimento de tecnologias para monitoramento da qualidade do ar","Engenharia ambiental",983,2022-01-29,2022-02-14,B,19762,2
Bdab1571,"Desenvolvimento de parcerias para a promoção dos direitos das pessoas LGBTQIA+",Inclusão,884,2019-11-16,2020-03-19,B,41326,1
Bdcc309,"Desenvolvimento de algoritmos para análise de grande quantidade de dados em tempo real","Ciência da Computação",347,2019-02-21,2019-04-01,B,15113,4
Bdcc3599,"Desenvolvimento de novos fármacos antitumorais",Oncologia,1223,2018-08-10,2018-09-13,B,34017,4
Bdee2223,"Desenvolvimento de novas terapias para doenças neurodegenerativas",Neurociência,1491,2020-12-01,2021-01-21,B,45406,2
Bdee3182,"Desenvolvimento de novas técnicas de conservação de água em ambientes urbanos","Engenharia civil",423,2020-12-21,2021-05-31,B,32620,3
BdF160,"Desenvolvimento de novos medicamentos a partir de plantas da biodiversidade brasileira",Farmacologia,634,2021-10-28,2021-12-28,B,32359,2
Bdff4830,"Desenvolvimento de novos métodos de diagnóstico de doenças infecciosas",Imunologia,1263,2019-12-07,2020-01-29,B,38339,4
BdG3087,"Desenvolvimento de parcerias para a promoção da educação de qualidade",Educação,1314,2020-09-26,2020-10-25,B,21046,1
BdG3208,"Desenvolvimento de tecnologias para a produção de alimentos sustentáveis","Agricultura Sustentável",562,2021-12-02,2022-05-30,B,47065,1
BdG4284,"Desenvolvimento de medicamentos para combate a Alzheimer",Neurociência,586,2019-07-09,2019-09-17,B,33793,4
Bdgg4360,"Desenvolvimento de tecnologias inovadoras para a indústria 4.0 em áreas com alta concentração de migrantes LGBTQIA+",Tecnologia,1003,2018-08-02,2019-01-06,B,20837,1
Bdgg4630,"Desenvolvimento de novas técnicas cirúrgicas",Medicina,934,2020-07-07,2020-10-27,B,39656,5
Bdgg4728,"Desenvolvimento de energias renováveis e combate às mudanças climáticas",Energia,1415,2022-04-04,2022-07-06,B,26208,5
BdH2024,"Desenvolvimento de novos materiais para baterias de carros elétricos","Engenharia de Materiais",824,2021-05-17,2021-08-13,B,10547,3
Bdhh4689,"Desenvolvimento de tecnologia de transporte sustentável",Engenharia,1381,2018-07-29,2018-12-17,B,30330,3
BdJ1940,"Desenvolvimento de um sistema web para gestão de projetos acadêmicos",Tecnologia,1409,2019-03-11,2019-05-14,B,37433,3
Bdjj82,"Desenvolvimento de Sistemas de Energia Sustentável para Comunidades Rurais",Energia,1031,2020-10-29,2021-01-06,B,37867,1
BdK444,"Desenvolvimento de tecnologias inovadoras para a indústria 4.0 em áreas com alta concentração de migrantes LGBTQIA+",Tecnologia,677,2020-11-29,2020-12-08,B,37826,2
BdK4717,"Desenvolvimento de modelos de previsão de desastres naturais usando aprendizado de máquina",Geologia,356,2018-10-03,2018-11-14,B,38728,1
Bdkk2574,"Desenvolvimento de tecnologias para produção de alimentos em áreas semiáridas","Engenharia agrícola",366,2020-02-01,2020-05-19,B,25901,3
Bdkk3023,"Desenvolvimento de tecnologias para a produção de alimentos orgânicos",Agricultura,518,2018-01-20,2018-03-17,B,36887,1
Bdll251,"Desenvolvimento de novos materiais para uso em construções","Engenharia de materiais",432,2018-07-06,2018-12-31,B,47886,4
Bdll3568,"Desenvolvimento de novas técnicas de monitoramento da biodiversidade terrestre","Biologia da conservação",1486,2020-12-15,2021-02-05,B,40639,3
Bdll365,"Desenvolvimento de novas técnicas de tratamento de efluentes industriais","Engenharia química",1456,2020-05-02,2020-06-19,B,13781,2
Bdll4186,"Desenvolvimento de políticas públicas para a redução da pobreza",Sociologia,1232,2020-12-04,2021-03-08,B,14467,5
BdQ3931,"Desenvolvimento de novas técnicas de reciclagem de resíduos eletrônicos","Engenharia de materiais",1467,2019-03-30,2019-06-09,B,34914,3
BdR1121,"Desenvolvimento de materiais ecológicos",Química,1020,2020-03-14,2020-06-06,B,37782,3
BdR4294,"Desenvolvimento de tecnologias para o uso sustentável da água em ambientes urbanos","Engenharia civil",956,2021-02-05,2021-07-15,B,29664,3
BdR4669,"Desenvolvimento de tecnologias de armazenamento de energia",Energia,589,2022-05-16,2022-10-21,B,31097,1
Bdrr2258,"Desenvolvendo Novas Tecnologias para Combate ao Câncer",Oncologia,361,2019-11-10,2020-01-26,B,44834,2
BdS3214,"Desenvolvimento de tecnologias para a produção de bioenergia a partir de resíduos agroindustriais","Engenharia química",1079,2021-05-28,2021-10-12,B,35442,1
Bdss1512,"Desenvolvimento de tecnologias para a educação a distância",Educação,421,2022-06-14,2022-11-15,B,14533,5
Bdss1917,"Desenvolvimento de novos medicamentos para doenças tropicais",Saúde,490,2018-03-15,2018-04-23,B,11127,5
Bdss845,"Desenvolvimento de fontes de energia renovável e acessível para comunidades migrantes","Energia Renovável",1237,2022-07-28,2022-11-11,B,19869,3
Bdtt3415,"Desenvolvimento de tecnologias para a produção de energia solar em áreas urbanas","Engenharia elétrica",1038,2018-01-03,2018-06-18,B,13194,2
BdU1670,"Desenvolvimento de Tecnologias para Exploração Sustentável de Recursos Marinhos",Oceanografia,867,2020-09-16,2020-12-31,B,11287,2
Bduu1205,"Desenvolvimento de técnicas de produção de alimentos mais sustentáveis",Agroecologia,896,2020-05-14,2020-06-17,B,32936,5
Bduu4287,"Desenvolvimento de sistemas de armazenamento de energia","Engenharia de materiais",810,2018-10-12,2019-01-24,B,37741,4
BdV1956,"Desenvolvimento de novos métodos para a análise de dados em genômica",Genética,951,2018-04-29,2018-06-15,B,46137,5
BdV3036,"Desenvolvimento de tecnologias para a agricultura familiar",Agricultura,1376,2020-07-01,2020-12-14,B,48573,2
BdW2228,"Desenvolvimento de novas tecnologias para o tratamento de câncer",Oncologia,654,2021-12-12,2022-04-24,B,23918,5
BdW775,"Desenvolvimento de Novas Tecnologias para Depuração de Água em Regiões Carentes","Engenharia Ambiental",1191,2019-09-10,2019-11-26,B,36466,1
BdW938,"Desenvolvimento de tecnologias para a mobilidade urbana sustentável",Transporte,1050,2021-03-19,2021-04-08,B,34863,1
BdX3032,"Desenvolvimento de políticas públicas para a promoção da saúde e bem-estar","Políticas Públicas",694,2022-01-25,2022-06-05,B,45503,1
Bdxx2293,"Desenvolvimento de biocombustíveis a partir de resíduos agrícolas",Química,786,2019-02-28,2019-06-07,B,11848,4
Bdxx2349,"Desenvolvimento de materiais alternativos para painéis solares","Engenharia de Materiais",323,2018-01-04,2018-02-26,B,32752,1
Bdyy2848,"Desenvolvimento de políticas públicas para a promoção dos direitos das pessoas LGBTQIA+","Políticas Públicas",997,2020-06-13,2020-09-24,B,28938,4
Bdza146,"Desenvolvimento de programas para a inclusão social de comunidades quilombolas",Inclusão,1332,2021-11-22,2022-02-10,B,37028,1
BeA1501,"Estudos epidemiológicos de doenças crônicas",Epidemiologia,688,2021-02-14,2021-07-18,B,31325,3
BeA2141,"Educação inclusiva para jovens LGBTQIA+",Educação,910,2019-08-08,2019-12-28,B,12690,4
Beaa2130,"Estudo de Engenharia de Processos Químicos",Engenharia,1049,2020-12-09,2021-03-21,B,36329,4
Beaa3051,"Estudo de Engenharia Ambiental",Engenharia,477,2019-01-19,2019-03-21,B,36366,1
Beab4538,"Estudo de comportamentos sociais",Sociologia,356,2022-10-18,2022-12-25,B,31797,2
BeD2934,Epidemiologia,Epidemiologia,1234,2022-07-12,2022-10-16,B,16290,4
BeD491,"Estudos de impacto ambiental de mineração",Geologia,1088,2019-03-23,2019-06-17,B,42668,4
Bedd3954,"Estudo de patologias cerebrais",Neurociência,1173,2018-08-25,2018-10-15,B,38682,3
Bedd4418,"Educação alimentar para a promoção da alimentação saudável",Educação,1448,2018-02-16,2018-03-11,B,29126,4
Beee1027,"Estudo de tecnologia de reconhecimento facial","Ciência da Computação",634,2019-03-14,2019-04-19,B,20961,3
Beee1880,"Engenharia de materiais para dispositivos semicondutores",Física,1145,2021-11-25,2022-01-17,B,37158,1
Beff1886,"Estudo do impacto da poluição sonora na saúde mental da população em áreas urbanas","Toxicologia ambiental",1134,2018-07-01,2018-11-29,B,37760,4
Beff248,"Estudos de impacto do aquecimento global nos oceanos",Oceanografia,1051,2022-11-23,2023-03-05,B,27632,4
Beff3551,"Estudo do Impacto das Mudanças Climáticas no Ecossistema Aquático da Amazônia",Ecologia,1078,2021-08-26,2021-09-01,B,33474,4
BeG1460,"Estudo do impacto das mudanças climáticas na produção de energia eólica no Brasil","Engenharia elétrica",812,2021-01-08,2021-03-28,B,39795,3
BeG2922,"Estudo do impacto das mudanças climáticas na biodiversidade","Meio Ambiente",1292,2019-01-21,2019-05-13,B,26642,4
Begg3264,"Estudo do impacto da mineração na Amazônia na biodiversidade e nos recursos hídricos",Geologia,1431,2020-09-03,2020-12-28,B,47468,5
Begg4575,"Estudos de impacto ambiental de parques eólicos offshore","Engenharia Ambiental",703,2019-02-11,2019-04-05,B,45574,2
BeH231,"Estudo sobre o impacto da migração na economia local",Demografia,1002,2021-09-24,2021-12-26,B,19861,5
BeH2597,"Estudo de Ecologia e Biologia Evolutiva",Biologia,951,2018-02-06,2018-07-27,B,32890,3
BeH3258,"Estudo da influência das mudanças climáticas na produção de energia renovável","Energia Renovável",678,2020-12-09,2021-02-03,B,26883,5
Behh103,"Educação financeira para a promoção da inclusão econômica",Educação,961,2019-07-09,2019-09-10,B,14610,2
Behh3391,"Estudo de Psicologia Experimental",Psicologia,1049,2019-11-15,2020-01-07,B,15186,4
Beii2145,"Educação inclusiva para crianças migrantes",Educação,1204,2020-05-21,2020-08-09,B,20582,3
BeJ1618,"Estudo de Comunicação Científica",Comunicação,1310,2020-07-14,2020-12-23,B,30717,4
BeJ2043,"Exploração de novos planetas habitáveis",Astronomia,818,2019-10-09,2019-11-10,B,11703,4
Bejj3876,"Estudo sobre o impacto do envelhecimento populacional na economia",Demografia,924,2020-09-14,2020-12-17,B,39266,2
BeL326,"Estudo de efeitos climáticos",Geografia,560,2020-09-22,2020-12-17,B,37630,5
Bell1906,"Estudos sobre a transmissão de energia elétrica","Engenharia elétrica",426,2022-08-19,2023-01-18,B,48288,2
Bell2222,"Estudo dos impactos do aquecimento global nos ecossistemas marinhos",Oceanografia,1005,2021-08-26,2021-12-19,B,13180,4
Bemm2542,"Educação empreendedora para jovens migrantes LGBTQIA+",Educação,1056,2018-04-16,2018-05-17,B,15558,3
Bemm4684,"Estudo sobre a utilização de inteligência artificial na previsão de desastres naturais",Tecnologia,947,2020-04-07,2020-09-09,B,16128,2
Bemm985,"Educação em direitos humanos para a promoção da igualdade de gênero e diversidade sexual",Educação,1383,2020-06-30,2020-07-16,B,22770,4
BeN1293,"Estudo de dinâmica populacional na África",Demografia,1169,2020-12-06,2021-02-03,B,43015,1
Benn1030,"Estudo da variação do clima global nos últimos 100 anos",Climatologia,933,2018-10-21,2018-12-23,B,42824,4
BeO257,"Estudo sobre a utilização de tecnologias de impressão 3D na produção de órgãos artificiais",Tecnologia,1072,2021-06-04,2021-09-21,B,18231,2
BeO4415,"Educação em direitos humanos para a promoção da igualdade de gênero e diversidade sexual",Educação,704,2018-09-28,2019-01-23,B,15291,2
BeP1225,"Estudo do impacto das mudanças climáticas na qualidade da água","Engenharia ambiental",1207,2021-10-15,2022-01-01,B,22155,1
BeP3062,"Educação ambiental para a promoção do desenvolvimento sustentável",Educação,1283,2018-10-17,2019-01-12,B,18159,3
BeP416,"Estudo de Astronomia",Astronomia,822,2019-10-17,2019-12-26,B,26448,5
Bepp2789,"Estudos de impacto ambiental de exploração de petróleo",Geologia,325,2019-10-15,2020-03-02,B,38037,4
Beqq151,"Estudo de Biologia Molecular",Biologia,1176,2018-04-27,2018-07-18,B,40350,4
BeR169,"Estudo de Ecologia de Ecossistemas",Ecologia,945,2021-10-21,2021-11-16,B,17677,3
BeR3838,"Educação financeira para a promoção da inclusão econômica",Educação,886,2021-09-12,2021-11-27,B,17578,4
BeR897,"ECS Virtual: design de página na web institucional para a Escola de Comunicação Social da Universidade de São Paulo",Tecnologia,330,2022-07-08,2022-09-21,B,15418,4
Berr2543,"Estudo sobre a utilização de tecnologias de inteligência artificial na previsão de movimentos sísmicos",Tecnologia,963,2019-08-05,2019-11-30,B,37770,1
Berr4050,"Estudo da relação entre a poluição dos rios e a saúde humana","Engenharia ambiental",1219,2019-06-01,2019-08-25,B,47374,1
BeS334,"Estudo de Engenharia de Materiais",Engenharia,403,2019-02-28,2019-06-25,B,44884,4
BeS4206,"Estudo de Genética Humana",Genética,317,2019-07-28,2019-09-05,B,35094,4
Bess1157,"Estudo da relação entre educação e desenvolvimento econômico",Educação,1245,2018-01-16,2018-02-18,B,15445,2
Bess2894,"Estudo sobre a influência da mídia na formação da opinião pública",Comunicação,1413,2022-11-13,2023-01-18,B,32225,5
BeT1707,"Estudo de Engenharia de Sistemas de Energia",Engenharia,303,2019-03-30,2019-06-05,B,10383,2
BeT2686,"Estudo da evolução de comportamentos sociais em comunidades humanas",Sociologia,737,2018-09-23,2019-01-16,B,46161,5
BeT4789,"Estudo do impacto das mudanças climáticas na produção de alimentos em áreas rurais",Agroecologia,373,2019-07-11,2019-11-21,B,29133,4
Bett2878,"Estudo da influência da dieta na prevenção de doenças crônicas",Nutrição,491,2022-02-24,2022-03-07,B,28424,4
BeU1859,"Estudo da variação do clima global nos últimos 100 anos",Climatologia,530,2020-10-10,2021-03-24,B,16220,2
BeU3156,"Estudo de Sociologia da Tecnologia",Sociologia,1488,2019-09-16,2019-11-26,B,38300,4
BeU3515,"Estudo sobre o impacto do turismo na economia local",Economia,767,2020-01-13,2020-06-11,B,42581,3
BeU4152,"Estudo de Antropologia Cultural",Antropologia,578,2020-11-21,2020-12-16,B,42594,4
Beuu2183,"Estudo da biodiversidade da Amazônia",Biologia,362,2020-04-28,2020-07-22,B,10977,5
Beuu87,"Estudos de genômica de espécies ameaçadas de extinção","Biologia Molecular",1079,2020-09-26,2021-02-02,B,49101,1
Bevv4409,"Estudo sobre a eficácia de programas de reciclagem em grandes cidades","Meio Ambiente",1225,2019-07-11,2019-10-10,B,29413,4
Bevv4860,"Educação inclusiva para crianças em situação de vulnerabilidade",Educação,1197,2019-02-28,2019-03-26,B,37833,2
Bevv4996,"Estudo da evolução da diversidade genética em populações de plantas",Genética,1369,2021-11-27,2021-12-11,B,33128,3
BeW2190,"Estudo sobre a relação entre a exposição a campos magnéticos e a migração de aves",Biologia,1053,2018-01-24,2018-04-10,B,49451,5
BeW2792,"Estudo sobre a relação entre desigualdade social e acesso à justiça",Sociologia,1029,2022-05-06,2022-08-15,B,15107,2
Beww378,"Estudo de Física Quântica",Física,385,2022-08-06,2022-10-22,B,17382,4
Beww4651,"Educação inclusiva para crianças em situação de vulnerabilidade",Educação,1219,2021-02-23,2021-04-02,B,27923,5
Beww773,"Estudo de Doenças Tropicais",Saúde,716,2019-01-22,2019-02-28,B,20934,2
BeX4263,"Estudo sobre a eficácia de programas de incentivo à leitura",Educação,703,2021-04-09,2021-08-07,B,49904,2
